Colima,Fedex,Av. San Fernando Núm.548-4,Av. Camino Real y Av. Sn Fernando,Col. Centro,Colima,Colima,28000,09:00,19:00,,,09:00,14:00,,,,3123307991,,,,19.2448995,-103.7133202,Fedex,CLQB
Manzanillo,Fedex,Miguel De La Madrid Km 3.5 Núm 815,Valeria Reyes Lizarde y Marlica,Fracc. Playa Azul,Manzanillo,Colima,28259,09:00,19:00,,,09:00,14:00,,,,3143324589,,,,19.0551821,-104.3007495,Fedex,ZLOB
Centro,Fedex,1A Norte Poniente Núm. 274-B,Entre 1 y 2 poniente,Col. Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,14:00,,,09:00,14:00,,,,9616132699,,,,16.754815,-93.1174612,Fedex,TGZD
Tuxtla Sur,Fedex,9A Sur Poniente Núm. 514,Esquina 4 poniente,Col. Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,14:00,,,09:00,14:00,,,,9616136733,,,,16.7468728,-93.1211213,Fedex,TGZC
Tuxtla Norte,Fedex,Sexta  Poniente Norte Núm. 618,FedEx World Service Center,Col. Centro,Tuxtla Gutiérrez,Chiapas,29000,09:00,19:00,,,09:00,14:00,,,,9616147875,,,,16.7593875,-93.120308,Fedex,TGZB
Nueva Terminal Tuxtla,Fedex,Blvd Antonio Pariente Alga Núm. S/N,Entre 5 norte y Blvd Belisario Dominguez,Col. Cafetales,Tuxtla Gutiérrez,Chiapas,29030,09:00,15:00,,,09:00,14:00,,,,9611251580,,,,16.7609292,-93.1383346,Fedex,TGZF
Tuxtla Oriente,Fedex,Blvd. Angel Albino Corzo Núm. 894,Victorico Grajales y Santa María,Bienestar Social,Tuxtla Gutiérrez,Chiapas,29077,09:00,14:00,,,09:00,14:00,,,,9616124409,,,,16.7489868,-93.0917231,Fedex,TGZE
Plan de Ayala,Fedex,Calzada Guerrero Núm. 1025,Frente a Transportes Grijalva,Col. Plan De Ayala,Tuxtla Gutiérrez,Chiapas,29110,09:00,15:00,,,09:00,14:00,,,,9616121306,,,,16.7661807,-93.1765783,Fedex,TGZJ
San Cristobal,Fedex,Av. Insurgentes S/N;  OCC,Interior Termnal Autobuses OCC,Col. Santa Lucia,San Cristobal Casas,Chiapas,29250,09:00,19:00,,,09:00,14:00,,,,9676783256,,,,16.7297661,-92.6366436,Fedex,SZTB
Ocosingo,Fedex,Carretera Federal Poniente # 165,Frente a terminal de autobuses OCC,Barrio Lindavista,Ocosingo,Chiapas,29950,09:00,15:00,,,09:00,14:00,,,,9196732235,,,,16.9095988,-92.0997994,Fedex,TGZCO
Palenque,Fedex,Carr. Palenque-Ocosingo; Esq. Av. Juarez S/N,Jorge de la Vega E Idalio Huerta,Col. Centro,Palenque,Chiapas,29960,09:00,19:00,,,09:00,14:00,,,,9163454800,,,,17.5079551,-91.9898504,Fedex,VSAQ
Comitan,Fedex,3 Calle Norte Poniente Núm. 50,Esquina con 3ra Avenida Poniente Norte,Barrio de Guadalupe,Comitan De Dominguez,Chiapas,30069,09:00,14:00,,,09:00,14:00,,,,9636367382,,,,16.2541451,-92.1467851,Fedex,CJTB
Cintalapa,Fedex,Carretera  Panamericana Km 1002,Con 2A Oriente Sur,Col. Seguro Social,Cintalapa,Chiapas,30400,09:00,14:00,,,09:00,14:00,,,,9686845080,,,,16.6889867,-93.7212503,Fedex,TGZCC
Arriaga,Fedex,Av. Quinta Oriente Núm  525,Con Carretera Panamericana,Col. Centro Arriaga,Arriaga,Chiapas,30450,09:00,14:00,,,09:00,14:00,,,,9666622099,,,,16.2339257,-93.8963115,Fedex,TGZCR
Tonalá,Fedex,12 de Octubre S/N,Entre Av. Hidalgo y Penitenciaría,Col. Centro,Tonala,Chiapas,30500,09:00,19:00,,,09:00,15:00,,,,9666634217,,,,16.0929135,-93.758436,Fedex,TAPD
Huixtla,Fedex,Central Norte Núm. 64,Negete Pte y Fco Zarco,Centro,Huixtla,Chiapas,30640,09:00,19:00,,,09:00,14:00,,,,9646421058,,,,15.1434607,-92.463281,Fedex,TAPB
Tapachula Terminal,Fedex,Av. 17 Oriente Núm. 45,Primera y Tercera Norte,Col. Centro,Tapachula,Chiapas,30720,09:00,19:00,,,09:00,15:00,,,,9625551010,,,,14.9169815,-92.2512241,Fedex,TAPC
Centro Chihuahua,Fedex,Avenida Teofilo Borunda Núm. 805-C,Ocampo y Diagonal Ocampo,Col. Centro,Chihuahua,Chihuahua,31000,09:00,18:00,,,09:00,14:00,,,,6144107490,,,,28.6477958,-106.0724418,Fedex,CUUD
Norte Chihuahua,Fedex,Avenida Tecnologico Núm. 8701,Juan Escutia y 16 de Septiembre,Col. Villa Nueva,Chihuahua,Chihuahua,31134,09:00,15:00,,,09:00,14:00,,,,6144173234,,,,28.6862323,-106.1117184,Fedex,CUUCA
Industrias Chihuahua,Fedex,Avenida  Industrias Núm. 3706,Con Av. Agustin Melgar,Col. Zona Industrial,Chihuahua,Chihuahua,31150,09:00,19:00,,,09:00,14:00,,,,6144149102,,,,28.6663393,-106.0828828,Fedex,CUUC
Ciudad Juarez,Fedex,Calle Ampere Núm. 8861,Entre Av. De la Industria y Joule,Pque Ind. Bermudez,Ciudad Juárez,Chihuahua,32471,09:00,18:00,,,09:00,14:00,,,,6562277610,,,,31.7096494,-106.3990229,Fedex,CJSB
Delicias,Fedex,Av. 5 A Norte Núm. 411-C,Entre Calle 4A Norte y Calle 5A Norte,Col. Centro;,Ciudad Delicias,Chihuahua,33000,09:00,13:00,,,09:00,14:00,,,,6394749112,,,,28.1990675,-105.471547,Fedex,CUUJ
Parral,Fedex,Av. Tecnologico Núm. 14,Acacias y Alamillo,Col. Centro,Hidalgo Del Parral,Chihuahua,33800,09:00,13:00,,,09:00,14:00,,,,6275224671,,,,26.9300678,-105.6510059,Fedex,CUUP
Durango,Fedex,Av. 20 de Noviembre Núm. 1327,Alonso de Pacheco y Benito Crespo,Col. Nueva Vizcaya,Durango,Durango,34080,09:00,19:00,,,09:00,14:00,,,,6188184932,,,,24.0283545,-104.6494756,Fedex,DGOB
